date,price
2021-01-01,16.72333847096158
2021-01-02,16.65227733371921
2021-01-03,16.6648327115364
2021-01-04,16.76119355105263
2021-01-05,16.77381050890198
2021-01-06,16.786425803204406
2021-01-07,16.79903860942521
2021-01-08,16.811647938322512
2021-01-09,16.740131372767458
2021-01-10,16.752667126724713
2021-01-11,16.84944269804616
2021-01-12,16.86202493108615
2021-01-13,16.87459626998492
2021-01-14,16.887154737257273
2021-01-15,16.899698190710808
2021-01-16,16.82766320182868
2021-01-17,16.840107010536464
2021-01-18,16.937214575626253
2021-01-19,16.94967325773617
2021-01-20,16.96210374445702
2021-01-21,16.974502905353106
2021-01-22,16.986867445281515
2021-01-23,16.914197934870153
2021-01-24,16.926421264836925
2021-01-25,17.023717917223305
2021-01-26,17.035907727707567
2021-01-27,17.048043970901354
2021-01-28,17.060122363418472
2021-01-29,17.072138457165494
2021-01-30,16.998667201145075
2021-01-31,17.010485306777294
2021-02-01,17.107765994243554
2021-02-02,17.11948511783169
2021-02-03,17.131117231574397
2021-02-04,17.142656899134966
2021-02-05,17.154098519469468
2021-02-06,17.079609145192634
2021-02-07,17.090781068794755
2021-02-08,17.18777661606908
2021-02-09,17.198766742915737
2021-02-10,17.20962834670846
2021-02-11,17.220354838160027
2021-02-12,17.230939463276
2021-02-13,17.155168426837964
2021-02-14,17.165396998612426
2021-02-15,17.261772130057803
2021-02-16,17.271718455742754
2021-02-17,17.281486674511704
2021-02-18,17.291069044126928
2021-02-19,17.300457657643488
2021-02-20,17.22309622119217
2021-02-21,17.23202805923942
2021-02-22,17.327379421543476
2021-02-23,17.33591064707161
2021-02-24,17.344206111168134
2021-02-25,17.352256918644798
2021-02-26,17.360054009606163
2021-02-27,17.28075021865231
2021-02-28,17.287975728970775
2021-03-01,17.381829913835695
2021-03-02,17.38851824563703
2021-03-03,17.39490509083757
2021-03-04,17.400980401298586
2021-03-05,17.406733964174105
2021-03-06,17.32509462490141
2021-03-07,17.330148001387517
2021-03-08,17.421959568219904
2021-03-09,17.42632071814957
2021-03-10,17.430306585655714
2021-03-11,17.433905969649093
2021-03-12,17.43710750433324
2021-03-13,17.35270016090845
2021-03-14,17.355059385356636
2021-03-15,17.444208883957383
2021-03-16,17.44570206929563
2021-03-17,17.446738105734074
2021-03-18,17.447304639232964
2021-03-19,17.447389151045325
